Country,Region,Population,Area_sq_mi,Pop_Density_per_sq_mi,Coastline_coast_to_area_ratio,Net_migration,Infant_mortality_per_1000_births,GDP,Literacy_%,Phones_per_1000,Arable_%,Crops_%,Other_%,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Qatar,NEAR EAST,885359,11437,"77,4","4,92","16,29",1861,21500,825,"232,0","1,64","0,27",9809,1,1556,472,"0,002","0,801","0,197"
Reunion,SUB-SAHARAN AFRICA,787584,2517,"312,9","8,22",0,778,5800,889,"380,9","13,6","1,2",852,2,189,549,"0,08","0,19","0,73"
Romania,EASTERN EUROPE,22303552,237500,"93,9","0,09","-0,13",2643,7000,984,"196,9","40,82","2,25",5693,3,107,1177,"0,101","0,35","0,549"
Russia,C.W. OF IND. STATES,142893540,17075200,"8,4","0,22","1,02",1539,8900,996,"280,6","7,33","0,11",9256,NA,995,1465,"0,054","0,371","0,575"
Rwanda,SUB-SAHARAN AFRICA,8648248,26338,"328,4","0,00",0,9123,1300,704,"2,7","40,54","12,16",473,3,4037,1609,"0,401","0,229","0,37"
Saint Helena,SUB-SAHARAN AFRICA,7502,413,"18,2","14,53",0,19,2500,970,"293,3","12,9",0,871,NA,1213,653,NA,NA,NA
Saint Kitts & Nevis,LATIN AMER. & CARIB,39129,261,"149,9","51,72","-7,11",1449,8800,970,"638,9","19,44","2,78",7778,2,1802,833,"0,035","0,258","0,707"
Saint Lucia,LATIN AMER. & CARIB,168458,616,"273,5","25,65","-2,67",1353,5400,670,"303,3","6,56","22,95",7049,2,1968,508,"0,07","0,2","0,73"
St Pierre & Miquelon,NORTHERN AMERICA,7026,242,"29,0","49,59","-4,86",754,6900,990,"683,2","13,04",0,8696,NA,1352,683,NA,NA,NA
Saint Vincent and the Grenadines,LATIN AMER. & CARIB,117848,389,"303,0","21,59","-7,64",1478,2900,960,"190,9","17,95","17,95",641,2,1618,598,"0,1","0,26","0,64"
Samoa,OCEANIA,176908,2944,"60,1","13,69","-11,7",2771,5600,997,"75,2","21,2","24,38",5442,2,1643,662,"0,114","0,584","0,302"
San Marino,WESTERN EUROPE,29251,61,"479,5","0,00","10,98",573,34600,960,"704,3","16,67",0,8333,NA,1002,817,NA,NA,NA
Sao Tome & Principe,SUB-SAHARAN AFRICA,193413,1001,"193,2","20,88","-2,72",4311,1200,793,"36,2","6,25","48,96",4479,2,4025,647,"0,167","0,148","0,684"
Saudi Arabia,NEAR EAST,27019731,1960582,"13,8","0,13","-2,71",1324,11800,788,"140,6","1,67","0,09",9824,1,2934,258,"0,033","0,613","0,354"
Senegal,SUB-SAHARAN AFRICA,11987121,196190,"61,1","0,27","0,2",5551,1600,402,"22,2","12,78","0,21",8701,2,3278,942,"0,172","0,209","0,619"
Serbia,EASTERN EUROPE,9396411,88361,"106,3","0,00","-1,33",1289,2200,930,"285,8","33,35","3,2",6345,NA,NA,NA,"0,166","0,255","0,579"
Seychelles,SUB-SAHARAN AFRICA,81541,455,"179,2","107,91","-5,69",1553,7800,580,"262,4","2,22","13,33",8445,2,1603,629,"0,032","0,304","0,665"
Sierra Leone,SUB-SAHARAN AFRICA,6005250,71740,"83,7","0,56",0,14364,500,314,"4,0","6,98","0,89",9213,2,4576,2303,"0,49","0,31","0,21"
Singapore,ASIA (EX. NEAR EAST),4492150,693,"6482,2","27,85","11,53",229,23700,925,"411,4","1,64",0,9836,2,934,428,0,"0,339","0,661"
Slovakia,EASTERN EUROPE,5439448,48845,"111,4","0,00","0,3",741,13300,NA,"220,1","30,16","2,62",6722,3,1065,945,"0,035","0,294","0,672"
Slovenia,EASTERN EUROPE,2010347,20273,"99,2","0,23","1,12",445,19000,997,"406,1","8,6","1,49",8991,NA,898,1031,"0,028","0,369","0,603"
Solomon Islands,OCEANIA,552438,28450,"19,4","18,67",0,2129,1700,NA,"13,4","0,64",2,9736,2,3001,392,"0,42","0,11","0,47"
Somalia,SUB-SAHARAN AFRICA,8863338,637657,"13,9","0,47","5,37",1167,500,378,"11,3","1,67","0,04",9829,1,4513,1663,"0,65","0,1","0,25"
South Africa,SUB-SAHARAN AFRICA,44187637,1219912,"36,2","0,23","-0,29",6181,10700,864,"107,0","12,08","0,79",8713,1,182,22,"0,025","0,303","0,671"
Spain,WESTERN EUROPE,40397842,504782,"80,0","0,98","0,99",442,22000,979,"453,5","26,07","9,87",6406,3,1006,972,"0,04","0,295","0,665"
Sri Lanka,ASIA (EX. NEAR EAST),20222240,65610,"308,2","2,04","-1,31",1435,3700,923,"61,5","13,86","15,7",7044,2,1551,652,"0,178","0,276","0,545"
Sudan,SUB-SAHARAN AFRICA,41236378,2505810,"16,5","0,03","-0,02",625,1900,611,"16,3","6,83","0,18",9299,2,3453,897,"0,387","0,203","0,41"
Suriname,LATIN AMER. & CARIB,439117,163270,"2,7","0,24","-8,81",2357,4000,930,"184,7","0,37","0,06",9957,2,1802,727,"0,13","0,22","0,65"
Swaziland,SUB-SAHARAN AFRICA,1136334,17363,"65,5","0,00",0,6927,4900,816,"30,8","10,35","0,7",8895,25,2741,2974,"0,119","0,515","0,366"
Sweden,WESTERN EUROPE,9016596,449964,"20,0","0,72","1,67",277,26800,990,"715,0","6,54","0,01",9345,3,1027,1031,"0,011","0,282","0,707"
Switzerland,WESTERN EUROPE,7523934,41290,"182,2","0,00","4,05",439,32700,990,"680,9","10,42","0,61",8897,3,971,849,"0,015","0,34","0,645"
Syria,NEAR EAST,18881361,185180,"102,0","0,10",0,2953,3300,769,"153,8","25,22","4,43",7035,1,2776,481,"0,249","0,23","0,519"
Taiwan,ASIA (EX. NEAR EAST),23036087,35980,"640,3","4,35",0,64,23400,961,"591,0",24,1,75,2,1256,648,"0,018","0,259","0,723"
Tajikistan,C.W. OF IND. STATES,7320815,143100,"51,2","0,00","-2,86",11076,1000,994,"33,5","6,61","0,92",9247,2,3265,825,"0,234","0,286","0,48"
Tanzania,SUB-SAHARAN AFRICA,37445392,945087,"39,6","0,15","-2,06",9854,600,782,"4,0","4,52","1,08",944,NA,3771,1639,"0,432","0,172","0,396"
Thailand,ASIA (EX. NEAR EAST),64631595,514000,"125,7","0,63",0,2048,7400,926,"108,9","29,36","6,46",6418,2,1387,704,"0,099","0,441","0,46"
Togo,SUB-SAHARAN AFRICA,5548702,56785,"97,7","0,10",0,6661,1500,609,"10,6","46,15","2,21",5164,2,3701,983,"0,395","0,204","0,401"
Tonga,OCEANIA,114689,748,"153,3","56,02",0,1262,2200,985,"97,7","23,61","43,06",3333,2,2537,528,"0,23","0,27","0,5"
Trinidad & Tobago,LATIN AMER. & CARIB,1065842,5128,"207,9","7,06","-10,83",2431,9500,986,"303,5","14,62","9,16",7622,2,129,1057,"0,007","0,57","0,423"
Tunisia,NORTHERN AFRICA,10175014,163610,"62,2","0,70","-0,57",2477,6900,742,"123,6","17,86","13,74",684,3,1552,513,"0,132","0,318","0,55"
Turkey,NEAR EAST,70413958,780580,"90,2","0,92",0,4104,6700,865,"269,5","30,93","3,31",6576,3,1662,597,"0,117","0,298","0,585"
Turkmenistan,C.W. OF IND. STATES,5042920,488100,"10,3","0,00","-0,86",7308,5800,980,"74,6","3,72","0,14",9614,1,2761,86,"0,209","0,38","0,411"
Turks & Caicos Is,LATIN AMER. & CARIB,21152,430,"49,2","90,47","11,68",1567,9600,980,"269,5","2,33",0,9767,2,2184,421,NA,NA,NA
Tuvalu,OCEANIA,11810,26,"454,2","92,31",0,2003,1100,NA,"59,3",0,0,100,2,2218,711,"0,166","0,272","0,562"
Uganda,SUB-SAHARAN AFRICA,28195754,236040,"119,5","0,00",0,6783,1400,699,"3,6","25,88","10,65",6347,2,4735,1224,"0,311","0,222","0,469"
Ukraine,C.W. OF IND. STATES,46710816,603700,"77,4","0,46","-0,39",2034,5400,997,"259,9","56,21","1,61",4218,3,882,1439,"0,187","0,452","0,361"
United Arab Emirates,NEAR EAST,2602713,82880,"31,4","1,59","1,03",1451,23200,779,"475,3","0,6","2,25",9715,1,1896,44,"0,04","0,585","0,375"
United Kingdom,WESTERN EUROPE,60609153,244820,"247,6","5,08","2,19",516,27700,990,"543,5","23,46","0,21",7633,3,1071,1013,"0,005","0,237","0,758"
United States,NORTHERN AMERICA,298444215,9631420,"31,0","0,21","3,41",65,37800,970,"898,0","19,13","0,22",8065,3,1414,826,"0,01","0,204","0,787"
Uruguay,LATIN AMER. & CARIB,3431932,176220,"19,5","0,37","-0,32",1195,12800,980,"291,4","7,43","0,23",9234,3,1391,905,"0,093","0,311","0,596"
Uzbekistan,C.W. OF IND. STATES,27307134,447400,"61,0","0,00","-1,72",711,1700,993,"62,9","10,83","0,83",8834,1,2636,784,"0,342","0,229","0,43"
Vanuatu,OCEANIA,208869,12200,"17,1","20,72",0,5516,2900,530,"32,6","2,46","7,38",9016,2,2272,782,"0,26","0,12","0,62"
Venezuela,LATIN AMER. & CARIB,25730435,912050,"28,2","0,31","-0,04",222,4800,934,"140,1","2,95","0,92",9613,2,1871,492,"0,04","0,419","0,541"
Vietnam,ASIA (EX. NEAR EAST),84402966,329560,"256,1","1,05","-0,45",2595,2500,903,"187,7","19,97","5,95",7408,2,1686,622,"0,209","0,41","0,381"
Virgin Islands,LATIN AMER. & CARIB,108605,1910,"56,9","9,84","-8,94",803,17200,NA,"652,8","11,76","2,94",853,2,1396,643,"0,01","0,19","0,8"
Wallis and Futuna,OCEANIA,16025,274,"58,5","47,08",NA,NA,3700,500,"118,6",5,25,70,2,NA,NA,NA,NA,NA
West Bank,NEAR EAST,2460492,5860,"419,9","0,00","2,98",1962,800,NA,"145,2","16,9","18,97",6413,3,3167,392,"0,09","0,28","0,63"
Western Sahara,NORTHERN AFRICA,273008,266000,"1,0","0,42",NA,NA,NA,NA,NA,"0,02",0,9998,1,NA,NA,NA,NA,"0,4"
Yemen,NEAR EAST,21456188,527970,"40,6","0,36",0,615,800,502,"37,2","2,78","0,24",9698,1,4289,83,"0,135","0,472","0,393"
Zambia,SUB-SAHARAN AFRICA,11502010,752614,"15,3","0,00",0,8829,800,806,"8,2","7,08","0,03",929,2,41,1993,"0,22","0,29","0,489"
Zimbabwe,SUB-SAHARAN AFRICA,12236805,390580,"31,3","0,00",0,6769,1900,907,"26,8","8,32","0,34",9134,2,2801,2184,"0,179","0,243","0,579"
